year,United States Senate,Canada,Czech Republic,Spain,Netherlands,Italy House,Germany,Israel,United States House,United Kingdom,Italy Senate,Austria,Scotland,Turkey,Brazil,France,Ireland,Japan
2007,3368580,526661.0,13252.0,31663.0,,390590,595913.0,228776,133127.0,1035469.0,199762,64089.0,41405.0,245169,131890,528071,127435.0,
2008,116169826,11530032.0,360514.0,712769.0,,13875897,15992105.0,5170756,4249191.0,23130482.0,7026018,3293027.0,688334.0,5165628,4099339,11075991,2902930.0,
2009,85662209,10422264.0,580198.0,894952.0,,14932012,21297314.0,6554446,46062726.0,27373459.0,7815613,2595142.0,801979.0,6726113,4886807,13378134,3363126.0,
2010,80949883,16082493.0,836643.0,1214078.0,,17702297,19335493.0,6978110,108768835.0,43847832.0,9368375,2851173.0,1219924.0,6889981,10087265,17569970,5000409.0,
2011,82442588,18542660.0,1214232.0,2880230.0,,21640520,23290135.0,7343362,119212773.0,37876700.0,11828942,3203757.0,1353559.0,9592867,7820843,26775474,5918800.0,
2012,124657861,16599547.0,1897685.0,3287327.0,,20974228,27628139.0,8828438,151368313.0,47782588.0,11391483,3589630.0,1525344.0,5684325,10925878,44284173,5336579.0,
2013,95790324,15889086.0,3808695.0,3147438.0,,39491980,27217415.0,8492468,128754750.0,48300401.0,17182997,4024754.0,1477864.0,17769581,11338172,28448710,5125379.0,
2014,54199673,11255734.0,1914868.0,3460711.0,,17691917,19025506.0,6837104,77941639.0,28389160.0,9367898,3303130.0,1693310.0,14749575,14006537,24955311,3605067.0,
2015,76978778,21141786.0,1835417.0,3366045.0,,15391273,21508912.0,8640286,100089422.0,43546990.0,7670596,3353577.0,2116312.0,12942511,8329900,20371193,4409226.0,
2016,203171354,25484439.0,3328571.0,10610154.0,10648673.0,34420058,40422227.0,10461309,214294197.0,94462098.0,17460930,9572876.0,3670242.0,38761017,26035955,46405123,9509293.0,76525707.0
2017,168855323,27745291.0,5260361.0,10651736.0,16409964.0,31788011,56516475.0,9729865,213406458.0,98734838.0,17325209,9354732.0,4137787.0,22741992,19926105,66553687,9585010.0,93183953.0
2018,179825077,24043636.0,5047666.0,13767979.0,8265915.0,53928600,54606023.0,9938763,252953898.0,93024996.0,28251914,7608205.0,2746648.0,11003593,45404425,41933107,8872770.0,64389547.0
2019,172465072,32148404.0,4373775.0,19017576.0,9136859.0,51793187,51921907.0,13295544,267794441.0,152902201.0,26828426,11351310.0,4185200.0,9238693,25696895,49240969,10307426.0,84343474.0
2020,154216325,14672229.0,3770277.0,5132375.0,11730775.0,61718671,42020992.0,11675265,143218306.0,30200872.0,28046733,2513512.0,3867120.0,31691442,30501977,27726721,4707066.0,129940204.0
2021,74375256,12027829.0,5502842.0,,16185333.0,57877790,69635383.0,18352716,96347875.0,,27969027,,4834711.0,38779383,26325172,19234353,,139204315.0
2022,47159778,12352523.0,2032462.0,,7832825.0,67562019,25339908.0,14331575,39960403.0,,33497582,,1582433.0,44960469,39955423,38527428,,109288508.0
2023,7337790,,,,,7197616,,2821265,,,3146278,,,14807782,5983544,1349597,,7620827.0
